	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
Topic1	20.91***															6.28***	3.52*	3.57*
	(14.86)															(4.08)	(2.29)	(2.44)
Topic2		0.20														3.15*		
		(0.21)														(2.57)		
Topic3			-10.00***													-2.17	-4.96***	-4.66***
			(-12.72)													(-1.83)	(-4.63)	(-5.14)
Topic4				4.96***												6.45***	3.70**	3.86***
				(4.66)												(5.38)	(3.22)	(3.73)
Topic5					33.24***											17.41***	14.67***	14.87***
					(19.69)											(10.41)	(9.31)	(9.87)
Topic6						19.72***										9.72***	6.92***	7.24***
						(13.68)										(6.89)	(4.86)	(5.42)
Topic7							20.87***									2.21	-0.51	
							(14.70)									(1.44)	(-0.33)	
Topic8								-12.52***								-4.21***	-6.96***	-6.72***
								(-17.04)								(-3.74)	(-7.10)	(-8.01)
Topic9									27.52***							16.19***	13.51***	13.69***
									(18.46)							(10.80)	(9.46)	(10.08)
Topic10										-0.19						2.30		
										(-0.19)						(1.86)		
Topic11											-6.14***					0.93	-1.81	
											(-6.78)					(0.72)	(-1.60)	
Topic12												8.04***				4.83***	2.08	
												(6.17)				(3.49)	(1.56)	
Topic13													34.79***			18.77***	16.05***	16.38***
													(22.52)			(11.50)	(9.56)	(10.23)
Topic14														-29.26***		-21.20***	-23.91***	-23.91***
														(-41.08)		(-20.26)	(-24.99)	(-29.58)
Topic15															-10.39***	0.00	-2.73**	-2.79**
															(-14.17)	(.)	(-2.67)	(-3.09)
Business_1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
Business_2	0.68***	0.66***	1.22***	0.69***	0.54***	1.13***	0.55***	0.67***	0.69***	0.65***	0.59***	0.66***	0.66***	0.50**	0.92***	1.08***	1.09***	1.10***
	(4.36)	(4.26)	(7.39)	(4.45)	(3.50)	(7.15)	(3.54)	(4.32)	(4.43)	(4.20)	(3.77)	(4.28)	(4.24)	(3.12)	(5.89)	(5.97)	(6.04)	(6.19)
Business_3	1.13***	1.09***	0.94***	0.69***	1.04***	1.54***	1.20***	1.12***	1.00***	1.08***	1.06***	1.15***	1.01***	1.11***	1.05***	0.66***	0.68***	0.67***
	(7.26)	(7.04)	(6.06)	(3.95)	(6.67)	(9.73)	(7.68)	(7.20)	(6.40)	(6.83)	(6.81)	(7.39)	(6.46)	(6.87)	(6.77)	(3.47)	(3.56)	(3.55)
Business_4	1.13***	1.33***	1.30***	1.34***	1.22***	1.09***	1.12***	1.21***	1.12***	1.33***	1.31***	1.37***	1.18***	1.00***	1.27***	0.60***	0.61***	0.60***
	(6.60)	(7.80)	(7.61)	(7.85)	(7.12)	(6.34)	(6.55)	(7.08)	(6.52)	(7.75)	(7.68)	(8.02)	(6.86)	(5.73)	(7.44)	(3.37)	(3.42)	(3.35)
Business_5	0.29*	0.37**	0.25	0.30*	0.36*	0.85***	0.50***	0.30*	0.16	0.37*	0.46**	0.42**	0.28*	1.23***	0.43**	1.02***	1.04***	1.00***
	(2.08)	(2.65)	(1.79)	(2.16)	(2.54)	(5.88)	(3.55)	(2.13)	(1.13)	(2.57)	(3.29)	(3.02)	(1.99)	(7.78)	(3.08)	(5.91)	(6.12)	(5.96)
Business_6	0.87***	0.90***	0.82***	0.93***	0.94***	1.35***	1.09***	0.90***	0.84***	0.90***	0.91***	0.46*	0.81***	0.90***	0.93***	0.86***	0.88***	1.04***
	(4.36)	(4.56)	(4.11)	(4.68)	(4.70)	(6.70)	(5.46)	(4.49)	(4.19)	(4.47)	(4.59)	(2.19)	(4.05)	(4.32)	(4.66)	(3.67)	(3.79)	(4.79)
Business_7	0.10	0.18	0.36**	0.20	0.13	0.68***	0.07	0.09	0.26*	0.19	0.15	0.23	0.23	-0.04	0.35**	0.35*	0.34*	0.34*
	(0.80)	(1.45)	(2.82)	(1.57)	(1.04)	(5.23)	(0.53)	(0.72)	(2.09)	(1.45)	(1.20)	(1.83)	(1.80)	(-0.29)	(2.75)	(2.46)	(2.40)	(2.45)
Business_8	1.10***	1.11***	1.26***	1.14***	-0.08	1.60***	0.97***	1.14***	1.03***	1.10***	1.01***	1.19***	0.86***	1.18***	1.25***	0.65***	0.66***	0.65***
	(7.90)	(7.98)	(9.02)	(8.21)	(-0.53)	(11.22)	(6.99)	(8.17)	(7.37)	(7.75)	(7.25)	(8.52)	(6.17)	(8.19)	(8.92)	(3.86)	(3.94)	(3.95)
Business_9	1.07***	1.03***	1.65***	1.05***	0.92***	1.42***	0.77***	1.04***	1.05***	1.02***	0.95***	1.10***	0.97***	0.82***	1.12***	1.35***	1.36***	1.34***
	(6.57)	(6.34)	(9.54)	(6.51)	(5.65)	(8.67)	(4.74)	(6.39)	(6.45)	(6.30)	(5.88)	(6.76)	(5.94)	(4.94)	(6.88)	(7.31)	(7.35)	(7.36)
Business_10	0.92***	1.02***	0.93***	1.07***	1.13***	1.67***	1.21***	1.07***	0.96***	1.03***	1.03***	1.11***	1.10***	1.50***	1.15***	1.72***	1.77***	1.77***
	(6.03)	(6.06)	(6.10)	(6.97)	(7.36)	(10.52)	(7.89)	(6.97)	(6.26)	(6.64)	(6.71)	(7.25)	(7.11)	(9.04)	(7.48)	(8.80)	(9.78)	(10.03)
Busines_11	0.79***	0.95***	0.81***	1.01***	1.07***	1.58***	1.15***	0.97***	0.86***	0.96***	0.98***	1.04***	0.96***	1.27***	1.10***	1.46***	1.51***	1.50***
	(5.68)	(6.11)	(5.82)	(7.28)	(7.72)	(10.93)	(8.26)	(7.00)	(6.22)	(6.78)	(7.09)	(7.54)	(6.90)	(8.71)	(7.91)	(7.89)	(9.13)	(9.36)
Business_12	1.28***	1.39***	1.41***	1.40***	1.28***	1.80***	1.14***	1.40***	1.33***	1.39***	1.37***	1.38***	1.36***	1.19***	1.40***	1.28***	1.28***	1.29***
	(7.28)	(7.91)	(7.98)	(7.94)	(7.23)	(10.09)	(6.43)	(7.93)	(7.53)	(7.91)	(7.80)	(7.83)	(7.69)	(6.65)	(7.97)	(6.90)	(6.89)	(6.99)
Business_13	0.52***	0.57***	0.43**	0.53***	0.52***	1.07***	0.66***	0.48**	-0.29	0.57***	0.63***	0.63***	0.61***	0.47**	0.65***	0.10	0.12	0.09
	(3.57)	(3.85)	(2.91)	(3.59)	(3.49)	(7.11)	(4.47)	(3.28)	(-1.90)	(3.76)	(4.31)	(4.32)	(4.14)	(3.06)	(4.41)	(0.55)	(0.71)	(0.52)
Business_14	0.93***	1.02***	0.93***	1.02***	1.11***	1.44***	1.17***	0.97***	0.73**	1.03***	1.04***	1.07***	0.93***	1.51***	1.06***	1.41***	1.45***	1.43***
	(3.87)	(4.20)	(3.88)	(4.26)	(4.60)	(5.95)	(4.87)	(4.06)	(3.01)	(4.25)	(4.34)	(4.45)	(3.86)	(5.60)	(4.41)	(4.90)	(5.15)	(5.13)
Business_15	1.35***	1.26***	1.20***	1.21***	1.28***	0.94***	1.33***	1.28***	1.36***	1.25***	1.21***	1.13***	1.31***	1.31***	1.33***	1.06***	1.07***	1.13***
	(7.76)	(7.25)	(6.90)	(7.00)	(7.35)	(5.36)	(7.67)	(7.37)	(7.81)	(7.13)	(7.00)	(6.51)	(7.48)	(7.23)	(7.65)	(5.55)	(5.64)	(6.04)
